transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0x251cbc2842e7fc983d2ae3e39826446760e53f8cabddda757b4d02c76a567dc1,0,0x3732863ea87604f5e56685c1394ed63b09b0fdddc10604f412d664980e394d69,63337,72256,72256,0x87ad8fed4213f32f311779749b566d561846d9bc,0x795561761c9fd06f9f88d9cffec55d0cafc6e899dfd539d362fbb627106ea2b9,,58681948002,,,,
0x258a93bf65790447d671ba836ca522fecd0f8034bfdad0f95634c0f923a20984,0,0x64d3eb5630dfbb8c57f0d3b6e596da8c4fa25d785126dd02dd93d3b603f74b2a,63809,148265,148265,0x793ae8c1b1a160bfc07bfb0d04f85eab1a71f4f2,0x7e468a8d0cce3453eff83776ca0069989172eff2d41c0b504b3c1e21238f14fc,,55848097716,,,,
0xd32f489c11ba4c03f6cfc9b2d49f8f8ccaa47925c0192cb3c50871f485e0a237,0,0xc17b4116dc8a851f92b4fb4204d16272b2085c6b6e63700a07e682239dad4f75,63886,49243,49243,0xfcb20ae9a3fa95af55803b8cdab4b0643fb96d3f,0xcd1b6f44d33a65a1604354d1783051560346f07506ee9b15d69017bb8fd1b9a5,,57690682985,,,,
0x70cc4cdf696b8356a41845c2f342fa3bc4f6aa203d1f71e8a8b4be6250a7d0d1,1,0x85a9bccb16f2b9f32f71c313bcd2ad66c3e958cea416a14417087122af9b10d1,63925,198692,177080,0xf30bf3dcb1fa1ce1427ae586c54a95fce48f7db2,0x10b1185aa8d9437ac8e82e8cd9eb1e081bf3d1de07b5e720a07915ced572e579,,59273350864,,,,
0x0ba21f87f6715cace68d6929f93b4dc6b94e04c4e57ffe876c64007bc45b6e32,0,0x61f9c13ed146eef06a9325b39209d7b1a07e181189c66b444124d0c547e0230b,64073,99733,99733,0x4c5a2d876421bcf8518c34778b652a63d463b56e,0x73188c0ce8093237a843a8048d0342ab8d1505d3192d07e8d86efbc90cdca482,,57608012565,,,,
0xdd43d9ba1d192564f8f68978282fa6d53e95efae7b829a0584b407c2398311dd,0,0x24c2c2752e9df7ee5d631a2120f563805d061c1ced2a10415c9b0f824af62aec,64076,99733,99733,0x28111823d089491106a18a3b1e08f15938f0510b,0xc05e3947b0969a2bb44d5a18d5694ab0524649f3aef0cf0cb033f650d3efefb5,,54819421332,,,,
0x5c2522f46df93c16ac2537341ee95e6d7baa71fd278696cfbf3355d8604d026e,2,0xfe84792df0fa03688c3b4219cf8f0324834b12234d10c5cb9e6e0022900ccfce,64112,263439,221439,0xdf4b519d56f879707b5139c9e7f8957114dc9b87,0x5575e49c9faf6d32a35d5ffd82c39125deadd340e54c1ae9f9e26387aa9db24d,,57514345997,,,,
0x140f030bbe50f7dac4ea01b0f0db63f983142d505e7bd438b8a1f97f6c9826e2,1,0x518c52b50542e47a7eb6b43557796b99e6f4f6d214f6ba426eb2eb944afad78b,64263,190559,168947,0x09d7d329a642ef73402360b9a1039bf6bc342c02,0x27514ee074d9a7f77845b04f47005b771d66bc2037b366ebcc1fe4d0c2c151ec,,57608012565,,,,
0x11cc4ce66173ddc329fa831903000ad2b4f26bb7dfa3ae20ff337d0348b5f58e,0,0xae34e8ee9b8b295980f21af4822346c5bcf4ab7151d8b011f51a139a3f9d111c,64444,221184,221184,0xd2c12462b5b2e3cad01c9034f9e8f6921811cc63,0xe29faa210bf0ea69f509351765e24f78ad16fe58e75363f0bd805bce368fcd2f,,56986373024,,,,
0x2eec8c56e25df7bbd2b64b2ce82498e77bc3cc8721cd11d3650840ad87425fbc,1,0x1aacaddb57ee4474a0d5109327f08a5d41003ec109fdc7f0e39964933ac0c08f,65215,242632,221632,0xd7dc1d3210e52099a8b303cffc642ae0904de02b,0x559e51fce0f3f73aae7d68b96763bdeba5ea5616667b1c8d36bc23142e032918,,56649418468,,,,
